class_index,label,support,predicted_positives,average_precision,precision,recall,f1
22,Burping_and_eructation,33,28,0.9852027352027353,1.0,0.8484848484848485,0.9180327868852459
28,Cat,38,35,0.9827283556543577,0.9428571428571428,0.868421052631579,0.9041095890410958
171,Thunder,66,60,0.9817001903861513,0.9833333333333333,0.8939393939393939,0.9365079365079365
172,Thunderstorm,66,62,0.9800993730576466,0.9838709677419355,0.9242424242424242,0.953125
175,Toilet_flush,31,28,0.9616348971562194,0.9642857142857143,0.8709677419354839,0.9152542372881356
121,Musical_instrument,1154,1112,0.9613800503682325,0.9379496402877698,0.9038128249566725,0.9205648720211828
120,Music,1157,1114,0.9602306165853346,0.9389587073608617,0.9040622299049266,0.9211800968736239
131,Purr,13,11,0.9553349875930521,1.0,0.8461538461538461,0.9166666666666666
157,Sneeze,10,6,0.9540404040404039,1.0,0.6,0.75
116,Meow,26,23,0.9445521021938026,0.9130434782608695,0.8076923076923077,0.8571428571428571
122,Ocean,30,23,0.94375144019705,0.9565217391304348,0.7333333333333333,0.8301886792452831
72,Explosion,148,156,0.9318257379927889,0.8653846153846154,0.9121621621621622,0.8881578947368421
32,Chicken_and_rooster,21,15,0.9311174740752206,1.0,0.7142857142857143,0.8333333333333334
125,Percussion,421,359,0.9114231439560859,0.9080779944289693,0.7743467933491687,0.8358974358974359
34,Chime,13,14,0.9101362312900774,0.9285714285714286,1.0,0.9629629629629629
145,Screaming,40,30,0.9077768236952966,0.9333333333333333,0.7,0.8
100,Human_group_actions,141,134,0.9076384954706114,0.8731343283582089,0.8297872340425532,0.850909090909091
127,Plucked_string_instrument,229,235,0.907398299463612,0.8425531914893617,0.8646288209606987,0.853448275862069
194,Wind_chime,11,6,0.9059523809523811,0.8333333333333334,0.45454545454545453,0.5882352941176471
60,Domestic_animals_and_pets,109,108,0.9014160901174546,0.8518518518518519,0.8440366972477065,0.847926267281106
7,Bark,62,36,0.9011065659835185,0.9722222222222222,0.5645161290322581,0.7142857142857143
90,Guitar,227,220,0.8986217014715429,0.8409090909090909,0.8149779735682819,0.8277404921700223
6,Applause,72,56,0.8967048824759045,0.875,0.6805555555555556,0.765625
91,Gull_and_seagull,12,4,0.8927272727272728,1.0,0.3333333333333333,0.5
147,Shatter,64,47,0.8927219354857625,0.9361702127659575,0.6875,0.7927927927927928
81,Fowl,23,15,0.8893918661679849,1.0,0.6521739130434783,0.7894736842105263
57,Cymbal,109,77,0.8859405836945843,0.922077922077922,0.6513761467889908,0.7634408602150538
199,Zipper_(clothing),44,41,0.882533855306045,0.8536585365853658,0.7954545454545454,0.8235294117647058
168,Tearing,42,28,0.8817414699203768,1.0,0.6666666666666666,0.8
197,Writing,39,15,0.8781951038505689,1.0,0.38461538461538464,0.5555555555555556
20,Brass_instrument,82,73,0.8739492568045273,0.8356164383561644,0.7439024390243902,0.7870967741935484
152,Siren,12,4,0.8672806621365469,1.0,0.3333333333333333,0.5
189,Waves_and_surf,27,20,0.8608337219402467,0.9,0.6666666666666666,0.7659574468085106
59,Dog,71,72,0.8607007032849782,0.8333333333333334,0.8450704225352113,0.8391608391608392
181,Trumpet,77,28,0.8528421396487761,0.9642857142857143,0.35064935064935066,0.5142857142857142
79,Fireworks,61,41,0.8484116495316064,0.926829268292683,0.6229508196721312,0.7450980392156863
101,Human_voice,355,266,0.8461438751552821,0.9060150375939849,0.6788732394366197,0.7761674718196457
190,Whispering,28,17,0.8456178697164002,1.0,0.6071428571428571,0.7555555555555555
44,Cough,42,39,0.8422336971232868,0.8974358974358975,0.8333333333333334,0.8641975308641975
174,Tick-tock,15,0,0.8399004358912118,0.0,0.0,0.0
61,Domestic_sounds_and_home_sounds,656,620,0.8275696409199088,0.7919354838709678,0.7484756097560976,0.7695924764890282
5,Animal,299,248,0.8271662472777723,0.8629032258064516,0.7157190635451505,0.7824497257769653
77,Finger_snapping,21,5,0.826133693486178,1.0,0.23809523809523808,0.38461538461538464
166,Tambourine,39,25,0.8254913963529475,1.0,0.6410256410256411,0.78125
130,Printer,15,9,0.8248538011695905,1.0,0.6,0.75
9,Bass_guitar,54,38,0.8210372695201071,0.9210526315789473,0.6481481481481481,0.7608695652173914
40,Clock,17,13,0.8206862599282295,0.9230769230769231,0.7058823529411765,0.8
42,Computer_keyboard,20,0,0.8205380038777874,0.0,0.0,0.0
49,Cricket,27,16,0.8165836240487696,0.9375,0.5555555555555556,0.6976744186046512
11,Bell,94,67,0.8107199455663389,0.9104477611940298,0.648936170212766,0.7577639751552795
13,Bicycle_bell,14,13,0.810441859727574,0.7692307692307693,0.7142857142857143,0.7407407407407407
156,Snare_drum,93,45,0.8066494980401031,0.9555555555555556,0.46236559139784944,0.6231884057971014
67,Drum,146,86,0.8050094551433397,0.8372093023255814,0.4931506849315068,0.6206896551724138
73,Fart,68,48,0.8030539738292174,0.9375,0.6617647058823529,0.7758620689655172
105,Keys_jangling,26,19,0.8016429198037732,0.8421052631578947,0.6153846153846154,0.7111111111111111
162,Stream,33,23,0.7990881653466801,0.8695652173913043,0.6060606060606061,0.7142857142857143
139,Respiratory_sounds,76,76,0.7950117749892438,0.75,0.75,0.75
149,Sigh,12,1,0.7865913614825608,1.0,0.08333333333333333,0.15384615384615385
107,Laughter,41,34,0.7856314741419751,0.7941176470588235,0.6585365853658537,0.72
45,Cowbell,24,16,0.7852289473871127,1.0,0.6666666666666666,0.8
96,Harmonica,27,19,0.7846623573289099,0.8421052631578947,0.5925925925925926,0.6956521739130435
117,Microwave_oven,21,18,0.7779138891083078,0.8333333333333334,0.7142857142857143,0.7692307692307693
25,Camera,46,24,0.7751879493302535,0.875,0.45652173913043476,0.6
2,Acoustic_guitar,74,9,0.7735981032592234,0.8888888888888888,0.10810810810810811,0.1927710843373494
87,Glockenspiel,9,5,0.77325794515337,1.0,0.5555555555555556,0.7142857142857143
144,Scratching_(performance_technique),28,9,0.7731039245716623,1.0,0.32142857142857145,0.4864864864864865
98,Hi-hat,74,33,0.7687682627854777,0.9393939393939394,0.4189189189189189,0.5794392523364486
64,Drawer_open_or_close,24,26,0.7641517446332349,0.6538461538461539,0.7083333333333334,0.68
187,Water,159,120,0.763425222845677,0.8083333333333333,0.610062893081761,0.6953405017921147
52,Crumpling_and_crinkling,30,7,0.7621973955119118,1.0,0.23333333333333334,0.3783783783783784
184,Vehicle,355,255,0.7590754428263106,0.8117647058823529,0.5830985915492958,0.6786885245901639
68,Drum_kit,52,87,0.7564939012956285,0.5287356321839081,0.8846153846153846,0.6618705035971223
195,Wind_instrument_and_woodwind_instrument,90,58,0.7557751503329123,0.8620689655172413,0.5555555555555556,0.6756756756756757
126,Piano,95,77,0.751467400704974,0.7272727272727273,0.5894736842105263,0.6511627906976745
183,Typing,30,23,0.7482847078529387,0.8695652173913043,0.6666666666666666,0.7547169811320755
41,Coin_(dropping),66,44,0.7455986115944248,0.7727272727272727,0.5151515151515151,0.6181818181818182
95,Hands,84,34,0.7449240757495174,0.9117647058823529,0.36904761904761907,0.5254237288135594
48,Crash_cymbal,36,29,0.7425262143910514,0.7241379310344828,0.5833333333333334,0.6461538461538462
31,Chewing_and_mastication,28,16,0.7418989641118654,0.9375,0.5357142857142857,0.6818181818181818
150,Singing,42,45,0.7309203356110267,0.6444444444444445,0.6904761904761905,0.6666666666666666
104,Keyboard_(musical),186,148,0.7283413908386688,0.6959459459459459,0.553763440860215,0.6167664670658682
92,Gunshot_and_gunfire,54,48,0.7266234105761703,0.7291666666666666,0.6481481481481481,0.6862745098039216
133,Rail_transport,96,30,0.7127339432330891,0.9666666666666667,0.3020833333333333,0.4603174603174603
160,Splash_and_splatter,58,25,0.7123283978920414,0.92,0.39655172413793105,0.5542168674698795
143,Scissors,16,6,0.7122027468241328,1.0,0.375,0.5454545454545454
86,Glass,116,91,0.7116927146442152,0.8021978021978022,0.6293103448275862,0.7053140096618358
106,Knock,44,30,0.7082489393602227,0.8,0.5454545454545454,0.6486486486486487
108,Liquid,146,85,0.7082323986757973,0.8470588235294118,0.4931506849315068,0.6233766233766234
88,Gong,31,20,0.7052064797774532,0.8,0.5161290322580645,0.6274509803921569
118,Motor_vehicle_(road),197,115,0.7021221972157684,0.7913043478260869,0.4619289340101523,0.5833333333333334
18,Boom,27,20,0.701768414316696,0.75,0.5555555555555556,0.6382978723404256
19,Bowed_string_instrument,83,90,0.6934156278410998,0.6333333333333333,0.6867469879518072,0.6589595375722543
39,Clapping,58,24,0.6921856514526112,0.9166666666666666,0.3793103448275862,0.5365853658536586
115,Mechanisms,113,61,0.6843991783266866,0.8032786885245902,0.4336283185840708,0.5632183908045977
192,Wild_animals,125,100,0.6840243754755101,0.76,0.608,0.6755555555555556
71,Engine_starting,26,18,0.6799787578695622,0.7777777777777778,0.5384615384615384,0.6363636363636364
109,Livestock_and_farm_animals_and_working_animals,68,28,0.6780447289858399,0.9642857142857143,0.39705882352941174,0.5625
191,Whoosh_and_swoosh_and_swish,45,38,0.674538332293421,0.7105263157894737,0.6,0.6506024096385542
62,Door,149,108,0.6719120819978975,0.7129629629629629,0.5167785234899329,0.5992217898832685
141,Run,37,13,0.6564911067822538,0.8461538461538461,0.2972972972972973,0.44
155,Sliding_door,30,11,0.6527591390407861,0.8181818181818182,0.3,0.43902439024390244
12,Bicycle,19,29,0.6465866063375765,0.5172413793103449,0.7894736842105263,0.625
103,Insect,43,29,0.6461491054046035,0.7931034482758621,0.5348837209302325,0.6388888888888888
154,Slam,56,21,0.6382577184228758,0.9047619047619048,0.3392857142857143,0.4935064935064935
14,Bird,72,56,0.6336808904699297,0.6964285714285714,0.5416666666666666,0.609375
158,Speech,148,85,0.6258485745518128,0.8,0.4594594594594595,0.5836909871244635
70,Engine,102,62,0.6241884789265094,0.7419354838709677,0.45098039215686275,0.5609756097560976
10,Bathtub_(filling_or_washing),24,17,0.6148592083180547,0.6470588235294118,0.4583333333333333,0.5365853658536586
4,Alarm,103,62,0.6133078883313234,0.7903225806451613,0.47572815533980584,0.593939393939394
169,Telephone,19,10,0.610470141832886,0.9,0.47368421052631576,0.6206896551724138
129,Power_tool,29,5,0.606176263420849,0.8,0.13793103448275862,0.23529411764705882
112,Mallet_percussion,38,21,0.6027735151796678,0.6666666666666666,0.3684210526315789,0.4745762711864407
134,Rain,53,48,0.6005334369809251,0.625,0.5660377358490566,0.594059405940594
185,Vehicle_horn_and_car_horn_and_honking,20,6,0.6004968360784756,0.8333333333333334,0.25,0.38461538461538464
188,Water_tap_and_faucet,42,24,0.598071744847717,0.7083333333333334,0.40476190476190477,0.5151515151515151
65,Drill,29,4,0.5954446804822832,1.0,0.13793103448275862,0.24242424242424243
138,Rattle_(instrument),37,31,0.5907372099902648,0.7096774193548387,0.5945945945945946,0.6470588235294118
17,Boiling,10,3,0.5899558099101709,1.0,0.3,0.46153846153846156
140,Ringtone,17,3,0.5894248272021099,1.0,0.17647058823529413,0.3
38,Church_bell,13,10,0.5714898921071598,0.6,0.46153846153846156,0.5217391304347826
30,Cheering,41,39,0.567952035275057,0.5384615384615384,0.5121951219512195,0.525
89,Growling,11,5,0.5586941567204725,0.6,0.2727272727272727,0.375
37,Chuckle_and_chortle,12,0,0.5584875534246243,0.0,0.0,0.0
69,Electric_guitar,66,10,0.543906879364065,0.7,0.10606060606060606,0.18421052631578946
178,Train,51,9,0.542329148663971,1.0,0.17647058823529413,0.3
186,Walk_and_footsteps,57,23,0.5394567176096756,0.8260869565217391,0.3333333333333333,0.475
50,Crow,12,2,0.5379100711711318,1.0,0.16666666666666666,0.2857142857142857
8,Bass_drum,39,21,0.535434568316885,0.6190476190476191,0.3333333333333333,0.43333333333333335
193,Wind,46,24,0.534832889513023,0.7083333333333334,0.3695652173913043,0.4857142857142857
26,Car,94,16,0.5252481054117984,0.8125,0.13829787234042554,0.23636363636363636
151,Sink_(filling_or_washing),45,26,0.5189696243136827,0.6923076923076923,0.4,0.5070422535211268
164,Subway_and_metro_and_underground,46,7,0.5109018319893356,0.7142857142857143,0.10869565217391304,0.18867924528301888
51,Crowd,48,37,0.510523402349107,0.5405405405405406,0.4166666666666667,0.47058823529411764
84,Gasp,10,3,0.5104517704517704,0.6666666666666666,0.2,0.3076923076923077
113,Marimba_and_xylophone,22,7,0.508119820592888,0.7142857142857143,0.22727272727272727,0.3448275862068966
3,Aircraft,16,5,0.500577401652572,0.8,0.25,0.38095238095238093
54,Crying_and_sobbing,17,4,0.49903671901683044,1.0,0.23529411764705882,0.38095238095238093
56,Cutlery_and_silverware,51,12,0.4962028107332618,1.0,0.23529411764705882,0.38095238095238093
119,Motorcycle,26,10,0.48965443105964973,0.6,0.23076923076923078,0.3333333333333333
124,Packing_tape_and_duct_tape,10,1,0.4778325292278781,1.0,0.1,0.18181818181818182
74,Female_singing,22,7,0.47538638205751915,0.7142857142857143,0.22727272727272727,0.3448275862068966
135,Raindrop,18,6,0.47500651848884134,0.8333333333333334,0.2777777777777778,0.4166666666666667
78,Fire,28,20,0.47199696903349353,0.6,0.42857142857142855,0.5
82,Frog,11,5,0.47025962963253,0.6,0.2727272727272727,0.375
165,Tabla,8,2,0.4627374467424739,1.0,0.25,0.4
123,Organ,45,23,0.45950583561679115,0.6086956521739131,0.3111111111111111,0.4117647058823529
63,Doorbell,17,1,0.45763621851208175,1.0,0.058823529411764705,0.1111111111111111
83,Frying_(food),8,1,0.453282559155404,1.0,0.125,0.2222222222222222
159,Speech_synthesizer,7,0,0.44799529400801413,0.0,0.0,0.0
94,Hammer,26,4,0.445404952351558,0.75,0.11538461538461539,0.2
176,Tools,73,40,0.4449457228089141,0.625,0.3424657534246575,0.4424778761061947
80,Fixed-wing_aircraft_and_airplane,13,4,0.440757521354695,0.75,0.23076923076923078,0.35294117647058826
36,Chirp_and_tweet,32,1,0.4384534877917001,1.0,0.03125,0.06060606060606061
21,Breathing,23,18,0.4359048929963074,0.6111111111111112,0.4782608695652174,0.5365853658536586
66,Drip,34,16,0.4307306086107966,0.75,0.35294117647058826,0.48
85,Giggle,16,3,0.421618317493721,0.0,0.0,0.0
142,Sawing,18,11,0.4204400220153536,0.5454545454545454,0.3333333333333333,0.41379310344827586
0,Accelerating_and_revving_and_vroom,25,4,0.41976479985666276,0.5,0.08,0.13793103448275862
153,Skateboard,11,5,0.41761220041852454,0.6,0.2727272727272727,0.375
161,Squeak,61,21,0.41111793482711834,0.6666666666666666,0.22950819672131148,0.34146341463414637
128,Pour,29,3,0.40167557880044064,0.3333333333333333,0.034482758620689655,0.0625
23,Bus,34,3,0.4003583077711084,0.6666666666666666,0.058823529411764705,0.10810810810810811
33,Child_speech_and_kid_speaking,24,10,0.3902538331840222,0.5,0.20833333333333334,0.29411764705882354
53,Crushing,29,27,0.3897723577711387,0.4074074074074074,0.3793103448275862,0.39285714285714285
99,Hiss,30,3,0.3895787850733057,1.0,0.1,0.18181818181818182
75,Female_speech_and_woman_speaking,50,5,0.38453976348707064,0.6,0.06,0.10909090909090909
15,Bird_vocalization_and_bird_call_and_bird_song,43,7,0.3835435732662037,0.8571428571428571,0.13953488372093023,0.24
114,Mechanical_fan,10,1,0.369388188264335,0.0,0.0,0.0
35,Chink_and_clink,54,12,0.36732888265330493,0.75,0.16666666666666666,0.2727272727272727
46,Crack,18,3,0.36067581912939584,0.6666666666666666,0.1111111111111111,0.19047619047619047
97,Harp,28,2,0.35233697826960275,0.5,0.03571428571428571,0.06666666666666667
111,Male_speech_and_man_speaking,59,9,0.35109248301259727,0.7777777777777778,0.11864406779661017,0.20588235294117646
93,Gurgling,30,10,0.3467776884467254,0.5,0.16666666666666666,0.25
1,Accordion,6,2,0.3425786688944584,0.0,0.0,0.0
102,Idling,17,0,0.3414582991904838,0.0,0.0,0.0
43,Conversation,15,0,0.3378653305881071,0.0,0.0,0.0
27,Car_passing_by,23,1,0.3352096998658877,1.0,0.043478260869565216,0.08333333333333333
179,Trickle_and_dribble,25,2,0.32762222623448334,0.5,0.04,0.07407407407407407
110,Male_singing,10,0,0.3133569500674763,0.0,0.0,0.0
180,Truck,17,0,0.30922345689873587,0.0,0.0,0.0
148,Shout,32,31,0.3031332273968479,0.3548387096774194,0.34375,0.3492063492063492
58,Dishes_and_pots_and_pans,53,12,0.29895928206712696,0.6666666666666666,0.1509433962264151,0.24615384615384617
177,Traffic_noise_and_roadway_noise,34,0,0.265936953175403,0.0,0.0,0.0
16,Boat_and_Water_vehicle,17,6,0.26348269734446234,0.5,0.17647058823529413,0.2608695652173913
24,Buzz,12,4,0.2396428463323622,0.5,0.16666666666666666,0.25
132,Race_car_and_auto_racing,11,0,0.23696945441410433,0.0,0.0,0.0
170,Thump_and_thud,44,12,0.23275905340002095,0.25,0.06818181818181818,0.10714285714285714
182,Typewriter,7,0,0.22244166832786708,0.0,0.0,0.0
47,Crackle,33,13,0.21971105199949995,0.3076923076923077,0.12121212121212122,0.17391304347826086
167,Tap,45,26,0.21871834458087128,0.23076923076923078,0.13333333333333333,0.16901408450704225
198,Yell,22,6,0.1959407058330345,0.3333333333333333,0.09090909090909091,0.14285714285714285
55,Cupboard_open_or_close,16,0,0.19223864761633544,0.0,0.0,0.0
136,Ratchet_and_pawl,8,1,0.16693394640620035,1.0,0.125,0.2222222222222222
163,Strum,23,0,0.1437630314191677,0.0,0.0,0.0
76,Fill_(with_liquid),16,6,0.14309778348703572,0.0,0.0,0.0
137,Rattle,40,15,0.13360033692798245,0.26666666666666666,0.1,0.14545454545454545
29,Chatter,10,0,0.10645574048710688,0.0,0.0,0.0
196,Wood,20,1,0.082108026654899,0.0,0.0,0.0
146,Screech,18,1,0.07025798175582453,0.0,0.0,0.0
173,Tick,10,0,0.014901210528106864,0.0,0.0,0.0
